Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Gadea Sergio,3,6.0,9.0,2.0,0.0,ES,36.0,0.045084533500313086
Wimmer Martin,3,6.0,7.0,8.0,0.0,DE,43.0,0.05385097056981841
Mcphee John,3,6.0,6.0,5.0,0.0,GB,37.5,0.046963055729492796
Kanaya Hideo,3,6.0,6.0,2.0,0.0,JP,33.0,0.041327489041953665
Buscherini Otello,3,5.0,9.0,4.0,0.0,IT,37.0,0.046336881653099564
Hennen Pat,3,5.0,4.0,0.0,0.0,US,26.0,0.03256105197244834
Abe Norick,3,4.0,10.0,0.0,0.0,JP,30.0,0.03757044458359424
Garriga Juan,3,4.0,6.0,2.0,0.0,ES,29.0,0.036318096430807766
Timmer Theo,3,4.0,5.0,0.0,0.0,NL,25.0,0.031308703819661866
Takahashi Yuki,3,4.0,4.0,0.0,0.0,JP,24.0,0.03005635566687539
Milani Alfredo,3,4.0,2.0,0.0,0.0,IT,22.0,0.027551659361302442
Gramigni Alessandro,3,3.0,6.0,3.0,1.0,IT,34.5,0.043206011271133375
Ruggia Jean Philippe,3,3.0,4.0,2.0,0.0,0,25.0,0.031308703819661866
Grant Mike,3,3.0,3.0,1.0,0.0,GB,22.5,0.028177833437695678
Mendogni Emilio,3,3.0,3.0,0.0,0.0,IT,21.0,0.026299311208515967
Sanna Simone,3,3.0,3.0,0.0,0.0,IT,21.0,0.026299311208515967
Rossi Graziano,3,2.0,2.0,1.0,0.0,IT,19.5,0.024420788979336257
Williams Charlie,3,2.0,0.0,0.0,0.0,GB,16.0,0.020037570444583593
Cann Maurice,3,2.0,0.0,0.0,0.0,GB,16.0,0.020037570444583593
Fernandez Augusto,3,1.0,7.0,1.0,0.0,ES,22.5,0.028177833437695678
Checa Carlos,2,14.0,8.0,3.0,0.0,ES,48.5,0.06073888541014402
Herreros Manuel,2,12.0,8.0,0.0,1.0,ES,46.0,0.057608015028177834
Shepherd Alan,2,9.0,9.0,0.0,0.0,GB,35.0,0.043832185347526614
